line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
48,048_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Se ajustaron los horarios de los días laborables, sábados y domingos","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
55,055_TT_12-15-24.pdf,,Adjusted Weekday schedule. Added trip weekdays.,For improved reliability better reflecting actual travel times. Trip added to accomodate extra passengers.,Se ajustaron los horarios de los días laborables. Se agregaron viajes entre semana.,"Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales. Se agregó un viaje para acomodar a más pasajeros.",Ճշգրտվել է աշխատանքային օրերի գրաֆիկը։ Ավելացվել է ուղևորություն աշխատանքային օրերին։,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները։ Ուղևորությունն ավելացվել է՝ լրացուցիչ ուղևորներ տեղավորելու համար։,已調整工作日時間表。已新增工作日行程。,以提高可靠性，更有效反映實際行程時間。已新增班次以容納更多乘客。,평일 일정이 조정되었습니다. 평일 운행이 추가되었습니다.,실제 이동 시간을 더 정확히 반영하여 신뢰성을 개선합니다. 더 많은 승객을 수용하기 위해 운행이 추가되었습니다.,平日スケジュールを調整しました。平日の運行を追加しました。,信頼性を向上させるため、実際の移動時間をより適切に反映させます。追加の乗客数に対応するため、運行を追加しました。,Уточненное расписание на будние дни. Добавлен рейс в будние дни.,Для повышения надежности и более точного отражения фактического времени в пути. Добавлен рейс для перевозки большего количества пассажиров.,Đã điều chỉnh lịch trình Các Ngày Trong Tuần. Đã tăng thêm chuyến đi vào các ngày trong tuần.,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế. Chuyến đi được tăng thêm để phục vụ thêm nhiều hành khách.
60,060_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Se ajustaron los horarios de los días laborables, sábados y domingos","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
62,062_TT_12-15-24.pdf,,Added trip Saturday.,To accomodate extra passengers.,Se agregó viaje los sábados.,Para acomodar a más pasajeros.,Ավելացվել է ուղևորություն շաբաթ օրը:,Լրացուցիչ ուղևորներ տեղավորելու համար։,週六已新增班次。,以容納更多乘客。,토요일 운행이 추가되었습니다.,더 많은 승객을 수용하기 위한 조치입니다.,土曜の運行を追加しました。,追加の乗客数に対応するため。,Добавлен рейс в субботу.,Для перевозки большего количества пассажиров.,Đã tăng thêm chuyến đi vào Thứ Bảy.,Chuyến đi được tăng thểm để phục vụ thêm nhiều hành khách.
76,076_TT_12-15-24.pdf,,Adjusted Weekday and Saturday schedules,For improved reliability better reflecting actual travel times,Horarios ajustados de los días laborables y sábados,Para mejorar la confiabilidad y reflejar mejor los tiempos de viaje reales,Ճշգրտվել է ժամանակացույցը աշխատանքային և շաբաթ օրերի համար։,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日及週六時刻表,以提高可靠性，更有效反映實際行程時間,평일 및 토요일 일정 조정,실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土曜スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,Уточненное расписание на субботу и будние дни,Для повышения надежности и более точного отражения фактического времени в пути,Đã điều chỉnh lịch trình Các Ngày Trong Tuần và Thứ Bảy,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
81,081_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Horarios ajustados de los días laborables, sábados y domingos",Para mejorar la confiabilidad y reflejar mejor los tiempos de viaje reales,"Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
90,090_TT_12-15-24.pdf,,Adjusted Weekday schedule,For improved reliability better reflecting actual travel times,Horario ajustado de los días laborables,Para mejorar la confiabilidad y reflejar mejor los tiempos de viaje reales,Ճշգրտվել է աշխատանքային օրերի գրաֆիկը,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日時間表,以提高可靠性，更有效反映實際行程時間,평일 일정 조정,실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,Уточненное расписание на будние дни,Для повышения надежности и более точного отражения фактического времени в пути,Đã điều chỉnh lịch trình Các Ngày Trong Tuần,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
96,296_TT_12-15-24.pdf,,Rerouted to terminate at Lincoln/Cypress A Line Station. The line will be renumbered 296.,"Improved access to the A Line light rail service between Azusa, Pasadena, downtown LA, and Long Beach.",Redireccionado para terminar en la estación Lincoln/Cypress de Metro A Line. La línea pasará a ser la 296.,"Mejor acceso al servicio de tren ligero de Metro A Line entre Azusa, Pasadena, el centro de Los Angeles y Long Beach.",Վերափոխված է՝ երթուղին ավարտելու համար Lincoln/Cypress A Line Station-ում։ Գիծը վերահամարակալվելու է 296-ի։,"Բարելավված մուտք դեպի A Line թեթև երկաթուղային ծառայություն Azusa, Pasadena, downtown LA և Long Beach-ի միջև։",改道，以Lincoln/Cypress Line A車站為終點站。該路線將重新編號為Line 296。,改善Azusa、Pasadena、downtown LA和Long Beach之間Line A輕軌服務的通行。,Lincoln/Cypress A Line 역에서 종료되도록 경로가 변경되었습니다. 노선 번호가 296으로 변경됩니다.,"Azusa, Pasadena, DTLA 및 Long Beach 간 A Line 경전철 서비스의 접근성이 개선되었습니다.",Lincoln/Cypress A Line Stationが終点となるよう、ルートを変更しました。この路線の番号は296に変更されます。,Azusa、Pasadena、Downtown LA、Long Beach間のA Lineライトレールサービスへのアクセスが向上されました。,Изменен маршрут для переноса конечной остановки на станцию Lincoln/Cypress Station линии Line A. Линия получит номер 296.,"Улучшен доступ к легкорельсовому транспорту линии Line A между Azusa, Pasadena, downtown LA и Long Beach.",Thay đổi lộ trình để kết thúc tại Lincoln/Cypress A Line Station. Đã đặt lại số cho tuyến này là 296.,"Đã cải thiện khả năng tiếp cận dịch vụ đường sắt hạng nhẹ A Line giữa Azusa, Pasadena, downtown LA và Long Beach."
102,102_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules. Service will extend to LAX/Metro Transit Center when this station opens (date to be announced). Discontinued last round trip at night due to very low ridership.",For improved reliability better reflecting actual travel times. Savings reallocated to other improvements. For continued access to LAX and C and K rail lines.,"Horarios ajustados de los días laborables, sábados y domingos. El servicio se extenderá a LAX/Metro Transit Center cuando se abra esta estación (fecha por anunciar). Se suspendió el último viaje de ida y vuelta por la noche debido a la baja cantidad de pasajeros.",Para mejorar la confiabilidad y reflejar mejor los tiempos de viaje reales. Ahorros reasignados a otras mejoras. Para acceso continuo a LAX y líneas ferroviarias C y K.,"Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները Ծառայությունը կտարածվի դեպի LAX/Metro Transit Center, երբ այս կայարանը բացվի (ամսաթիվը կհայտարարվի)։ Գիշերային ժամերին վերջին շրջանաձև ուղևորությունը դադարեցվել է շատ ցածր ուղևորների թվի պատճառով։",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները Խնայողությունները վերաբաշխված են այլ բարելավումների համար։ LAX և C և K երկաթուղային գծերի շարունակական մուտքի համար։,"已調整工作日、週六和週日時間表。洛杉磯國際機場 (Los Angeles International Airport, LAX) /Metro Transit Center車站啟用時，服務將延伸至該站（日期待公告）。由於乘客人數過少，夜間的最後一班車已停止運行。",以提高可靠性，更有效反映實際行程時間。節省的資金重新分配給其他改進。以繼續通往LAX以及C和K軌道路線。,"평일, 토요일, 일요일 일정이 조정되었습니다. 이 역이 개통되면 LAX/Metro Transit Center까지 서비스가 확장됩니다(날짜는 추후 발표). 승객 수가 매우 적어 야간의 마지막 왕복 운행이 중단되었습니다.","실제 이동 시간을 더 정확히 반영하여 신뢰성을 개선합니다. 절감액을 다른 개선 사항에 재배치했습니다. LAX, C Line, K Line은 계속 이용하실 수 있습니다.",平日土日スケジュールを調整しました。この駅がオープンすると、サービスはLAX/Metro Transit Centerまで延長されます (日付未定)。乗客数が非常に少ないため、夜間の最終往復は廃止されました。,信頼性を向上させるため、実際の移動時間をより適切に反映させます。節約時間は他の改善に再配分されました。LAX、C路線、K路線への継続的なアクセスのため。,"Уточненное расписание на субботу, воскресенье и будние дни. Движение будет продлено до LAX/Metro Transit Center после его открытия (дата будет объявлена дополнительно). С учетом низкого пассажиропотока был отменен последний вечерний рейс туда и обратно.",Для повышения надежности и более точного отражения фактического времени в пути. Сэкономленные средства были использованы на другие улучшения. Для постоянного доступа к LAX и железнодорожным линиям C и K.,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật. Dịch vụ sẽ mở rộng đến LAX/Metro Transit Center khi nhà ga này mở cửa (ngày mở cửa sẽ được thông báo sau). Chuyến đi khứ hồi cuối cùng vào ban đêm bị ngừng hoạt động do lượng hành khách rất thấp.",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế. Khoản tiết kiệm được phân bổ lại cho các hoạt động cải tiến khác. Để tiếp tục sử dụng tuyến đường sắt LAX và C và K.
105,105_TT_12-15-24.pdf,,Adjusted Weekday schedule. Added trip weekdays.,For improved reliability better reflecting actual travel times. Added trip to accomodate more riders.,Horario ajustado de los días laborables. Se agregó un viaje entre semana.,Para mejorar la confiabilidad y reflejar mejor los tiempos de viaje reales. Viaje agregado para acomodar a más pasajeros.,Ճշգրտվել է աշխատանքային օրերի գրաֆիկը։ Ավելացվել է ուղևորություն աշխատանքային օրերին։,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները Ավելացվել է ուղևորություն՝ ավելի շատ ուղևորներ տեղավորելու համար։,已調整工作日時間表。已新增工作日行程。,以提高可靠性，更有效反映實際行程時間。已新增行程以容納更多乘客。,평일 일정이 조정되었습니다. 평일 운행이 추가되었습니다.,실제 이동 시간을 더 정확히 반영하여 신뢰성을 개선합니다. 더 많은 승객을 수용하기 위해 운행이 추가되었습니다.,平日スケジュールを調整しました。平日の運行を追加しました。,信頼性を向上させるため、実際の移動時間をより適切に反映させます。より多くの利用者に対応するため、運行を追加しました。,Уточненное расписание на будние дни. Добавлен рейс в будние дни.,"Для повышения надежности и более точного отражения фактического времени в пути. Добавлен рейс, чтобы обеспечить перевозку большего количества пассажиров.",Đã điều chỉnh lịch trình Các Ngày Trong Tuần. Đã tăng thêm chuyến đi vào các ngày trong tuần.,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế. Đã tăng thêm chuyến đi để phục vụ nhiều hành khách hơn.
