field,en-content,es-content,hy-content,zh-tw-content,ko-content,ja-content,ru-content,vi-content
takeone_label_ja,日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese)
takeone_label_ru,русский (Russian),русский (Russian),русский (Russian),русский (Russian),русский (Russian),русский (Russian),русский (Russian),русский (Russian)
takeone_label_vi,Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese)
takeone_file_en,,,,,,,,
takeone_file_es,,,,,,,,
takeone_file_hy,,,,,,,,
takeone_file_zh-tw,,,,,,,,
takeone_file_ko,,,,,,,,
takeone_file_ja,,,,,,,,
takeone_file_ru,,,,,,,,
takeone_file_vi,,,,,,,,
